id_talent_req,nama_posisi,company_name,backlog_headcount,nim,program_studi,semester,match_score
TR001,Project Coordinator Intern,PT Prima Data,2,20210265,Teknik Industri,7,70.0
TR001,Project Coordinator Intern,PT Prima Data,2,20210885,Manajemen,6,70.0
TR001,Project Coordinator Intern,PT Prima Data,2,20200948,Teknik Industri,7,70.0
TR001,Project Coordinator Intern,PT Prima Data,2,20211235,Manajemen,6,70.0
TR001,Project Coordinator Intern,PT Prima Data,2,20201362,Teknik Industri,7,70.0
TR002,Quality Control Staff,PT Sentosa Teknologi,3,20200059,Farmasi,9,70.0
TR002,Quality Control Staff,PT Sentosa Teknologi,3,20200620,Farmasi,7,70.0
TR002,Quality Control Staff,PT Sentosa Teknologi,3,20200670,Teknik Mesin,7,70.0
TR002,Quality Control Staff,PT Sentosa Teknologi,3,20200723,Teknik Mesin,8,70.0
TR002,Quality Control Staff,PT Sentosa Teknologi,3,20191941,Teknik Mesin,9,70.0
TR003,Data Analyst,CV Sejahtera Systems,2,20215801,Statistika,7,94.0
TR003,Data Analyst,CV Sejahtera Systems,2,202110494,Statistika,7,94.0
TR003,Data Analyst,CV Sejahtera Systems,2,202114287,Statistika,6,94.0
TR003,Data Analyst,CV Sejahtera Systems,2,20214089,Statistika,7,88.0
TR003,Data Analyst,CV Sejahtera Systems,2,20204301,Statistika,7,88.0
TR006,IT Support,PT Bangkit Global,1,20210158,Informatika,5,70.0
TR006,IT Support,PT Bangkit Global,1,20200322,Sistem Informasi,7,70.0
TR006,IT Support,PT Bangkit Global,1,20210378,Informatika,6,70.0
TR006,IT Support,PT Bangkit Global,1,20210709,Informatika,6,70.0
TR006,IT Support,PT Bangkit Global,1,20200739,Informatika,9,70.0
TR007,Financial Analyst,PT Andalas Informatika,3,20220358,Ekonomi Pembangunan,5,100.0
TR007,Financial Analyst,PT Andalas Informatika,3,20210885,Manajemen,6,100.0
TR007,Financial Analyst,PT Andalas Informatika,3,20220919,Ekonomi Pembangunan,5,100.0
TR007,Financial Analyst,PT Andalas Informatika,3,20221029,Ekonomi Pembangunan,4,100.0
TR007,Financial Analyst,PT Andalas Informatika,3,20211235,Manajemen,6,100.0
TR008,Data Analyst,PT Inti Sentosa,4,20212472,Manajemen,7,82.0
TR008,Data Analyst,PT Inti Sentosa,4,20213509,Manajemen,5,82.0
TR008,Data Analyst,PT Inti Sentosa,4,202210249,Manajemen,5,82.0
TR008,Data Analyst,PT Inti Sentosa,4,202112062,Manajemen,6,82.0
TR008,Data Analyst,PT Inti Sentosa,4,202115829,Informatika,5,82.0
TR009,Drafter,PT Perkasa Utama,1,20210860,Teknik Sipil,6,70.0
TR009,Drafter,PT Perkasa Utama,1,20201958,Teknik Sipil,8,70.0
TR009,Drafter,PT Perkasa Utama,1,20222963,Teknik Mesin,5,70.0
TR009,Drafter,PT Perkasa Utama,1,20224332,Teknik Sipil,5,70.0
TR009,Drafter,PT Perkasa Utama,1,20215660,Teknik Mesin,6,70.0
TR010,Marketing Intern,CV Bina Bersama,2,20210885,Manajemen,6,70.0
TR010,Marketing Intern,CV Bina Bersama,2,20211235,Manajemen,6,70.0
TR010,Marketing Intern,CV Bina Bersama,2,20191461,Ilmu Komunikasi,11,70.0
TR010,Marketing Intern,CV Bina Bersama,2,20201583,Ilmu Komunikasi,9,70.0
TR010,Marketing Intern,CV Bina Bersama,2,20211884,Manajemen,6,70.0
TR011,Consultant Intern,PT Digital Bangsa,2,20191383,Sistem Informasi,10,70.0
TR011,Consultant Intern,PT Digital Bangsa,2,20212179,Ekonomi Pembangunan,7,70.0
TR011,Consultant Intern,PT Digital Bangsa,2,20202280,Sistem Informasi,8,70.0
TR011,Consultant Intern,PT Digital Bangsa,2,20212295,Ekonomi Pembangunan,7,70.0
TR011,Consultant Intern,PT Digital Bangsa,2,20212646,Sistem Informasi,6,70.0
TR012,Digital Marketing Intern,CV Sentosa Makmur,4,20191461,Ilmu Komunikasi,11,70.0
TR012,Digital Marketing Intern,CV Sentosa Makmur,4,20201583,Ilmu Komunikasi,9,70.0
TR012,Digital Marketing Intern,CV Sentosa Makmur,4,20192608,Ilmu Komunikasi,9,70.0
TR012,Digital Marketing Intern,CV Sentosa Makmur,4,20212862,Ilmu Komunikasi,7,70.0
TR012,Digital Marketing Intern,CV Sentosa Makmur,4,20213216,Manajemen,7,70.0
TR014,Pharmacist Intern,PT Graha Perkasa,2,20200889,Farmasi,9,70.0
TR014,Pharmacist Intern,PT Graha Perkasa,2,20202912,Farmasi,9,70.0
TR014,Pharmacist Intern,PT Graha Perkasa,2,20214950,Farmasi,7,70.0
TR014,Pharmacist Intern,PT Graha Perkasa,2,201914660,Farmasi,11,70.0
TR014,Pharmacist Intern,PT Graha Perkasa,2,202020803,Farmasi,9,70.0
TR015,Research Assistant,PT Bumi Informatika,3,20211869,Statistika,7,70.0
TR015,Research Assistant,PT Bumi Informatika,3,20202139,Agroteknologi,9,70.0
TR015,Research Assistant,PT Bumi Informatika,3,20203672,Agroteknologi,9,70.0
TR015,Research Assistant,PT Bumi Informatika,3,20193988,Statistika,11,70.0
TR015,Research Assistant,PT Bumi Informatika,3,20204422,Agroteknologi,8,70.0
TR017,Data Analyst,PT Solusi Karya,4,20215801,Statistika,7,94.0
TR017,Data Analyst,PT Solusi Karya,4,20228936,Statistika,5,94.0
TR017,Data Analyst,PT Solusi Karya,4,202110494,Statistika,7,94.0
TR017,Data Analyst,PT Solusi Karya,4,202114287,Statistika,6,94.0
TR017,Data Analyst,PT Solusi Karya,4,20212648,Statistika,5,88.0
TR018,Business Analyst,PT Esa Abadi,2,20210885,Manajemen,6,100.0
TR018,Business Analyst,PT Esa Abadi,2,20211235,Manajemen,6,100.0
TR018,Business Analyst,PT Esa Abadi,2,20211869,Statistika,7,100.0
TR018,Business Analyst,PT Esa Abadi,2,20211884,Manajemen,6,100.0
TR018,Business Analyst,PT Esa Abadi,2,20213216,Manajemen,7,100.0
TR019,Business Process Analyst,CV Karya Gemilang,2,20200322,Sistem Informasi,7,70.0
TR019,Business Process Analyst,CV Karya Gemilang,2,20210885,Manajemen,6,70.0
TR019,Business Process Analyst,CV Karya Gemilang,2,20211235,Manajemen,6,70.0
TR019,Business Process Analyst,CV Karya Gemilang,2,20211884,Manajemen,6,70.0
TR019,Business Process Analyst,CV Karya Gemilang,2,20201969,Sistem Informasi,7,70.0
TR020,HR Intern,CV Sentosa Solusi,4,20190191,Manajemen,11,70.0
TR020,HR Intern,CV Sentosa Solusi,4,20200206,Manajemen,9,70.0
TR020,HR Intern,CV Sentosa Solusi,4,20211737,Psikologi,7,70.0
TR020,HR Intern,CV Sentosa Solusi,4,20202331,Psikologi,9,70.0
TR020,HR Intern,CV Sentosa Solusi,4,20212472,Manajemen,7,70.0
TR023,Social Media Specialist,PT Mandiri Karya,1,20190191,Manajemen,11,70.0
TR023,Social Media Specialist,PT Mandiri Karya,1,20200206,Manajemen,9,70.0
TR023,Social Media Specialist,PT Mandiri Karya,1,20200737,Ilmu Komunikasi,8,70.0
TR023,Social Media Specialist,PT Mandiri Karya,1,20201719,Ilmu Komunikasi,7,70.0
TR023,Social Media Specialist,PT Mandiri Karya,1,20212472,Manajemen,7,70.0
TR024,Supply Chain Analyst,PT Media Perkasa,1,20210265,Teknik Industri,7,100.0
TR024,Supply Chain Analyst,PT Media Perkasa,1,20201362,Teknik Industri,7,100.0
TR024,Supply Chain Analyst,PT Media Perkasa,1,20212117,Sistem Informasi,6,100.0
TR024,Supply Chain Analyst,PT Media Perkasa,1,20212850,Teknik Industri,7,100.0
TR024,Supply Chain Analyst,PT Media Perkasa,1,20203233,Teknik Industri,9,100.0
TR026,IT Support,PT Esa Informatika,1,20200418,Pendidikan Teknik Informatika,7,70.0
TR026,IT Support,PT Esa Informatika,1,20200472,Pendidikan Teknik Informatika,7,70.0
TR026,IT Support,PT Esa Informatika,1,20210589,Pendidikan Teknik Informatika,7,70.0
TR026,IT Support,PT Esa Informatika,1,20200673,Teknik Elektro,7,70.0
TR026,IT Support,PT Esa Informatika,1,20190729,Teknik Elektro,9,70.0
TR027,Data Analyst,CV Graha Cerdas,2,20202592,Sistem Informasi,8,88.0
TR027,Data Analyst,CV Graha Cerdas,2,20203095,Ekonomi Pembangunan,9,88.0
TR027,Data Analyst,CV Graha Cerdas,2,20213594,Ekonomi Pembangunan,6,88.0
TR027,Data Analyst,CV Graha Cerdas,2,20204251,Ekonomi Pembangunan,7,88.0
TR027,Data Analyst,CV Graha Cerdas,2,20214908,Ekonomi Pembangunan,5,88.0
TR028,Accounting Staff,CV Karya Mandiri,4,20214582,Akuntansi,5,100.0
TR028,Accounting Staff,CV Karya Mandiri,4,20225338,Akuntansi,5,100.0
TR028,Accounting Staff,CV Karya Mandiri,4,20196265,Akuntansi,9,100.0
TR028,Accounting Staff,CV Karya Mandiri,4,202112993,Akuntansi,7,100.0
TR028,Accounting Staff,CV Karya Mandiri,4,202115873,Akuntansi,5,100.0
TR029,Research Assistant,CV Mega Sentosa,1,20200059,Farmasi,9,70.0
